"Standard","Standaard"
"Minimal","Minimaal"
"Optional","Optioneel"
"Required","Vereist"
"Hidden","Verborgen"
The fire checkout is disabled.,Firecheckout is uitgeschakeld.
Fire Checkout Section,FireCheckout Sectie
Fire Checkout,FireCheckout
"Default Shipping Method","Standaard Verzendmethode"
"Default Payment Method","Standaard Betaalmethode"
"Default Country","Standaard Land"
"GeoIP","GeoIP"
Enable Country Detection,Land detectie ingeschakeld
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> en unzip bestand onder de 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' map als u die niet heeft"
Enable City Detection,Steden detect ingeschakeld
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> en unzip bestand onder de 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' map als u die niet heeft"
"Show Shipping Address Form","Toon Verzendadres Formulier"
"Show Subscribe to Newsletter Checkbox","Toon Schrijf in op Nieuwsbrief Checkbox"
"Address Form Fields","Adresformulier Velden"
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","Voordat u enige velden gaat aanpassen, wees er zeker van dat deze niet vereist zijn door uw aanbieder van betalingen/verzenden"
"Output Type","Output Type"
"Create account for later use","Maak een account aan voor later gebruik"
"Checkout Review","Evaluatie Betaling"
"Already registered? Login into your account","Bent u al geregistreerd? Log dan in op uw account"
"Show Comment Field","Toon Veld voor Opmerkingen"
"Guest checkout is allowed","Gast betaling is toegestaan"
"Registration is required","Registratie is vereist"
User is registered during checkout without prompting a password,Gebruiker wordt geregistreerd tijdens betaling zonder een wachtwoord te gebruiken
"Registration mode","Registratie modus"
"Show Discount Coupon Field","Toon Kortingsbon Veld"
