"Dates to Exclude","Dates to Exclude"
"Use Time Range","Use Time Range"
"Time Ranges","Time Ranges"
"We cannot deliver the package at the selected date. Please select another date for the delivery","We cannot deliver the package at the selected date. Please select another date for the delivery"
"We cannot deliver the package at the selected time. Please select another time for the delivery","We cannot deliver the package at the selected time. Please select another time for the delivery"
"Show for All Shipping Methods","Show for All Shipping Methods"
"Show for Specific Shipping Methods","Show for Specific Shipping Methods"
"MM/DD/YYYY","MM/DD/YYYY"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"You are browsing our store as %s %s","You are browsing our store as %s %s"
"Please %s or %s a new account to place order.","Please %s or %s a new account to place order."
"Allow to edit shopping cart contents","Allow to edit shopping cart contents"
"Show product image","Show product image"
"We recommend to use 2columns layout when using this option. See the General options section.","We recommend to use 2columns layout when using this option. See the General options section."
"Reload payment methods on cart contents change","Reload payment methods on cart contents change"
"Set 'Yes' if your methods depends on a shopping cart weight, subtotal or products q-ty","Set 'Yes' if your methods depends on a shopping cart weight, subtotal or products q-ty"
"Reload shipping methods on cart contents change","Reload shipping methods on cart contents change"
"This email is already in use","This email is already in use"
"Please %slogin%s using this email address or %senter a different email address%s to register your account.","Please %slogin%s using this email address or %senter a different email address%s to register your account."
"3 columns","3 columns"
"2 columns","2 columns"
"Delivery will be available since order date plus this value","Delivery will be available since order date plus this value"
"Reload shipping methods on coupon code","Reload shipping methods on coupon code"
"Set 'Yes' if you have coupons for shipping price","Set 'Yes' if you have coupons for shipping price"
"Example: %s","Example: %s"
"Hide Other Shipping Methods if Free is Available","Hide Other Shipping Methods if Free is Available"
"Show product name as link","Show product name as link"
"Show product short description","Show product short description"
"Show Address Review Block","Show Address Review Block"
"Show address review block, inside checkout review section. Useful for EU countries","Show address review block, inside checkout review section. Useful for EU countries"
"Description Excerpt Length","Description Excerpt Length"
